ID,ENTREVISTA,LOCUTOR,FALA_FIEL,FALA_HIGIENIZADA,NOTA_HUMANA,CONFIANCA_IA_FIEL,CONFIANCA_IA_HIGIENIZADA,ECE_FIEL,ECE_HIGIENIZADA
12,Marco Aurelio,Marco Aurélio Mello,houve uma decisão houve uma decisão do congresso nacional quanto ao impedimento do ex-presidente Fernando Afonso Collor de Melo e eu tenho que pressupor que essa decisão foi uma decisão correta segundo figurino constitucional figurino legal. agora eu sou muito mal compreendido parece que eu não falo bem o português não o vernáculo porque a chance de o senhor se explicar exatamente (.) eu fui questionado por jornalistas eu estou sempre pronto a falar os jornalistas quanto a uma frase da presidente Dilma que ela estaria acelerar com uma Severa até os dias atuais que o impedimento o processo de impedimento que não deixa de ser um processo crime ele é um golpe. o que eu- foi o que foi que eu disse então (?) eu disse olha haverá procedência do que acelerado pela chefe do executivo Nacional se não se tiver um fato jurídico ou seja um crime de responsabilidade. eu não admitiu o processo que está em andamento que eu inclusive não conheço o te- esse processo as imputações em si eu não parei para examinar porque recebo por semana no gabinete uma média de 100 processos novos né (.) Eu não conheço e não me atreveria a antecipar Essa visão de que estaríamos diante de um golpe. o que o- asseverei e asseveram neste momento aos cidadãos em geral é que se não houver um fato jurídico já que o processo ele tem uma mesclagem do político com jurídico se não houver Aí sim se terá um golpe político (..) Augusto Nunes eu não examinei não parei para examinar e eu não anteceparia um convencimento sobre essa matéria sabendo que ela está submetida ao congresso nacional (..).,houve uma decisão houve uma decisão do congresso nacional quanto ao impedimento do ex-presidente Fernando Afonso Collor de Melo e eu tenho que pressupor que essa decisão foi uma decisão correta segundo figurino constitucional figurino legal. agora eu sou muito mal compreendido parece que eu não falo bem o português não o vernáculo porque a chance de o senhor se explicar exatamente eu fui questionado por jornalistas eu estou sempre pronto a falar os jornalistas quanto a uma frase da presidente Dilma que ela estaria acelerar com uma Severa até os dias atuais que o impedimento o processo de impedimento que não deixa de ser um processo crime ele é um golpe. o que eu- foi o que foi que eu disse então (?) eu disse olha haverá procedência do que acelerado pela chefe do executivo Nacional se não se tiver um fato jurídico ou seja um crime de responsabilidade. eu não admitiu o processo que está em andamento que eu inclusive não conheço o te- esse processo as imputações em si eu não parei para examinar porque recebo por semana no gabinete uma média de 100 processos novos né Eu não conheço e não me atreveria a antecipar Essa visão de que estaríamos diante de um golpe. o que o- asseverei e asseveram neste momento aos cidadãos em geral é que se não houver um fato jurídico já que o processo ele tem uma mesclagem do político com jurídico se não houver Aí sim se terá um golpe político Augusto Nunes eu não examinei não parei para examinar e eu não anteceparia um convencimento sobre essa matéria sabendo que ela está submetida ao congresso nacional .,30,28.7109375,36.71875,1.2890625,6.71875
13,Marco Aurelio,Augusto Nunes,relações com o senhor acaba de mencionar que foram divulgadas pela- autorizadas as divulgação pelo pelo juiz Sérgio moro a um trecho em que o presidente o ex-presidente Lula diz que o Supremo Tribunal Federal tá a covardado (.) o senhor concorda com essa afirmação (?) os ministros do Supremo Tribunal Federal eles terão condições de bem julgar isso diante da pressão das ruas que tá bastante consideramos (?).,relações com o senhor acaba de mencionar que foram divulgadas pela- autorizadas as divulgação pelo pelo juiz Sérgio moro a um trecho em que o presidente o ex-presidente Lula diz que o Supremo Tribunal Federal tá a covardado o senhor concorda com essa afirmação (?) os ministros do Supremo Tribunal Federal eles terão condições de bem julgar isso diante da pressão das ruas que tá bastante consideramos (?).,75,26.3671875,40.234375,48.6328125,34.765625
14,Marco Aurelio,Marco Aurélio Mello,porque a cadeira ocupada por um juízo Supremo é uma cadeira vitalícia d- vitalícia para nós atuarmos com o- absoluta e com distância (.) é o que eu costumo sempre dizer processo Não tem capa processo tem conteúdo tem articulação tem causas de pedir que são examinadas pelo Supremo presente apenas um figurino legal (.) Julga os colegas (?) Por mim você que acompanha a minha vida profissional algum tempo você acha que eu sou uma pessoa com- guardada (?) acho que não (..).,porque a cadeira ocupada por um juízo Supremo é uma cadeira vitalícia d- vitalícia para nós atuarmos com o- absoluta e com distância é o que eu costumo sempre dizer processo Não tem capa processo tem conteúdo tem articulação tem causas de pedir que são examinadas pelo Supremo presente apenas um figurino legal Julga os colegas (?) Por mim você que acompanha a minha vida profissional algum tempo você acha que eu sou uma pessoa com- guardada (?) acho que não .,50,21.77734375,28.90625,28.22265625,21.09375
15,Marco Aurelio,Augusto Nunes,mas seus colegas talvez não (?).,mas seus colegas talvez não (?).,100,0.3570556640625,0.3570556640625,99.6429443359375,99.6429443359375
16,Marco Aurelio,Marco Aurélio Mello,de forma alguma ao contrário eles atuam com desprendimento e só se curvam a ciência e consciência possuída nada mais (..).,de forma alguma ao contrário eles atuam com desprendimento e só se curvam a ciência e consciência possuída nada mais .,90,61.71875,58.984375,28.28125,31.015625
17,Marco Aurelio,André Guilherme Vieira,André Ministro boa noite tudo bem (?) aproveitando o gancho do Camilo falou a gente quem ouviu as escutas telefônicas da operação aleteia que envolvem o ex-presidente Lula mostram do começo ao fim do começo das capitações até o final delas uma preocupação do Lula e de outros interlocutores inclusive o ministro Jaques Wagner no sentido de que ele tava no foco do juiz Sérgio moro né (?). perguntou se o senhor Fazer uma comparação já que falamos aqui de um Supremo leniente essa questão da justiça na operação castelo de areia em que se apurou algo muito parecido numa escala muito menor que era a doações e listas de no caso envolvia aquela Empreiteira Camargo Corrêa a prova acabou toda a nula porque tem dado momento uma ministra uma ministra da- do STJ entendeu que por uma questão formal havia um vício de origem né a informação tinha chegado por uma denúncia anônima Então se cairia toda a operação a operação ru- ruim tá acontecendo algo parecido é guardadas as proporções na lava jato. perguntou o seguinte coloca assim na balança o que que é mais grave o que que é mais grave esse erro é- ser irregularidade cometida pelo morro ou uma diatribe ali documentada em áudio de pessoas que integram os quadros da República tramando para tentar deixar o ex-presidente livre da ação da persecução criminal (?) como é que será avalia isso (?).,André Ministro boa noite tudo bem (?) aproveitando o gancho do Camilo falou a gente quem ouviu as escutas telefônicas da operação aleteia que envolvem o ex-presidente Lula mostram do começo ao fim do começo das capitações até o final delas uma preocupação do Lula e de outros interlocutores inclusive o ministro Jaques Wagner no sentido de que ele tava no foco do juiz Sérgio moro né (?). perguntou se o senhor Fazer uma comparação já que falamos aqui de um Supremo leniente essa questão da justiça na operação castelo de areia em que se apurou algo muito parecido numa escala muito menor que era a doações e listas de no caso envolvia aquela Empreiteira Camargo Corrêa a prova acabou toda a nula porque tem dado momento uma ministra uma ministra da- do STJ entendeu que por uma questão formal havia um vício de origem né a informação tinha chegado por uma denúncia anônima Então se cairia toda a operação a operação ru- ruim tá acontecendo algo parecido é guardadas as proporções na lava jato. perguntou o seguinte coloca assim na balança o que que é mais grave o que que é mais grave esse erro é- ser irregularidade cometida pelo morro ou uma diatribe ali documentada em áudio de pessoas que integram os quadros da República tramando para tentar deixar o ex-presidente livre da ação da persecução criminal (?) como é que será avalia isso (?).,60,49.0234375,49.0234375,10.9765625,10.9765625
18,Marco Aurelio,Marco Aurélio Mello,não ele não ficaria se ocupasse uma cadeira no Ministério da Esplanada ele não ficaria livre da persecução criminal (.) ele evidentemente teria esse fórum que se diz como privilegiado ou seja ele teria o direito de ser julgado pelo Supremo. agora eu não entendo como se possa imaginar um tribunal de volante mas é mais lento (.) temos no país apenas um juiz novo juiz Sérgio Moro tem prestado grandes serviços a nação mas nós temos milhares de também é- quantistantes e severos na observância da legislação.,não ele não ficaria se ocupasse uma cadeira no Ministério da Esplanada ele não ficaria livre da persecução criminal ele evidentemente teria esse fórum que se diz como privilegiado ou seja ele teria o direito de ser julgado pelo Supremo. agora eu não entendo como se possa imaginar um tribunal de volante mas é mais lento temos no país apenas um juiz novo juiz Sérgio Moro tem prestado grandes serviços a nação mas nós temos milhares de também é- quantistantes e severos na observância da legislação.,90,21.97265625,19.921875,68.02734375,70.078125
19,Marco Aurelio,André Guilherme Vieira,do supremo tá convertido numa espécie de câmara criminal não é atribuição constitucional da corte né atribuição é justamente do primeiro grau então-.,do supremo tá convertido numa espécie de câmara criminal não é atribuição constitucional da corte né atribuição é justamente do primeiro grau então-.,100,40.4296875,40.4296875,59.5703125,59.5703125
20,Marco Aurelio,Marco Aurélio Mello,não não não aí é que está nós temos uma competência muito abrangente e o Supremo é clínica geral ele se defronta com um processo crime considerados aqueles que têm o direito de serem julgados pelo Supremo e atua o Supremo com a distância. eu digo mais eu penso se fosse advogado que o crivo único a partir do supremo ele é prejudicial à defesa porque uma coisa é você percorrer com um processo crime com acusação os diversos patamares dos judiciário outra coisa é você ter decisão em- penada única pelo colegiado do supremo e hoje no tocante aqueles que são julgados pela turma não se tem mais embargos infringentes a pressuporem sempre sempre quatro votos vencidos quatro votos na turma que é composta por cinco integrantes tem-se absolvição do acusado (..).,não não não aí é que está nós temos uma competência muito abrangente e o Supremo é clínica geral ele se defronta com um processo crime considerados aqueles que têm o direito de serem julgados pelo Supremo e atua o Supremo com a distância. eu digo mais eu penso se fosse advogado que o crivo único a partir do supremo ele é prejudicial à defesa porque uma coisa é você percorrer com um processo crime com acusação os diversos patamares dos judiciário outra coisa é você ter decisão em- penada única pelo colegiado do supremo e hoje no tocante aqueles que são julgados pela turma não se tem mais embargos infringentes a pressuporem sempre sempre quatro votos vencidos quatro votos na turma que é composta por cinco integrantes tem-se absolvição do acusado .,70,52.34375,43.1640625,17.65625,26.8359375
21,Marco Aurelio,José Nêumanne,energia eu vou insistir aqui da Minha tese da leniência do supremo porque ele citou o castelo de areia que foi eu não está em julgamento aqui eu não sou advogado também eu não mulher o Senhor r- responde tudo que o senhor quiser mas aí eu também mas protagonista Quem é essa fixação no Supremo você não acredita na sua Suprema (?).,energia eu vou insistir aqui da Minha tese da leniência do supremo porque ele citou o castelo de areia que foi eu não está em julgamento aqui eu não sou advogado também eu não mulher o Senhor r- responde tudo que o senhor quiser mas aí eu também mas protagonista Quem é essa fixação no Supremo você não acredita na sua Suprema (?).,90,37.109375,37.109375,52.890625,52.890625
22,Marco Aurelio,Marco Aurélio Mello,não não acredito olha eu vou lhe dizer operação lava jato já houve antes o castelo de areia por causa de um de um erro de origem cometido pelo Aristides Junqueira a justiça a alta cor- da justiça brasileira jogou no lixo o castelo de areia e foi toda retomada. agora foi impedido numa reunião porque tentou ele tentou usar o truque da renúncia e o Senado sobre a presidência do presidente do supremo não aceitou o truque dele e o impediu. o Collor volta e absolvido pelo Supremo por um erro também é formal do processo aí o Collor volta delin- o que é óbvio porque a minha avó dizia que o homem de bem falha O canalha nunca falha o colo volta delin- e prova que estava certo o Senado que o impediu estava errada a justiça que o liberou depois. como acontece agora o senhor diz não é o Supremo não tem culpa foi a Dilma que deu um indulto só que o único político que está preso o José Dirceu porque recidiu os outros que não. agora por exemplo o Silvio Pereira foi praticamente absolvido que no entanto ele tava em plena prática do crime quer dizer então os exemplos históricos não tem favorecido nem o mensalão favorece porque o mensalão houve ouve realmente eles foram ééé foram todos apenados mas não cumpriram penas e depois foram perdoados. Então:: eu acho que do que vai sair do Brasil uma das coisas mais importantes é o direito da igualdade de todos perante a lei com o fim do Absurdo que é o foro privilegiado porque eu não admito conceito porque tem um mandato só por causa disso ele tem- uma pergunta a minha pergunta eu tô eu tô minha pergunta é esse tema eu quero que você faz não mesmo o senhor acabou de dizer que é contra foram privilegiado (.) Eu gostaria muito de saber porque isso é quando não eu basear a minha-.,não não acredito olha eu vou lhe dizer operação lava jato já houve antes o castelo de areia por causa de um de um erro de origem cometido pelo Aristides Junqueira a justiça a alta cor- da justiça brasileira jogou no lixo o castelo de areia e foi toda retomada. agora foi impedido numa reunião porque tentou ele tentou usar o truque da renúncia e o Senado sobre a presidência do presidente do supremo não aceitou o truque dele e o impediu. o Collor volta e absolvido pelo Supremo por um erro também é formal do processo aí o Collor volta delin- o que é óbvio porque a minha avó dizia que o homem de bem falha O canalha nunca falha o colo volta delin- e prova que estava certo o Senado que o impediu estava errada a justiça que o liberou depois. como acontece agora o senhor diz não é o Supremo não tem culpa foi a Dilma que deu um indulto só que o único político que está preso o José Dirceu porque recidiu os outros que não. agora por exemplo o Silvio Pereira foi praticamente absolvido que no entanto ele tava em plena prática do crime quer dizer então os exemplos históricos não tem favorecido nem o mensalão favorece porque o mensalão houve ouve realmente eles foram foram todos apenados mas não cumpriram penas e depois foram perdoados. Então eu acho que do que vai sair do Brasil uma das coisas mais importantes é o direito da igualdade de todos perante a lei com o fim do Absurdo que é o foro privilegiado porque eu não admito conceito porque tem um mandato só por causa disso ele tem- uma pergunta a minha pergunta eu tô eu tô minha pergunta é esse tema eu quero que você faz não mesmo o senhor acabou de dizer que é contra foram privilegiado Eu gostaria muito de saber porque isso é quando não eu basear a minha-.,35,24.0234375,24.12109375,10.9765625,10.87890625
23,Marco Aurelio,Marco Aurélio Mello,eu também sou contra eu estou usando linguajar do leigo Que dizão privilégio ser julgado pelo Supremo eu não acho que seja um privilégio (.) por mim eu acabei da- prova de mim Claro que eu não sou legislador não haveria o o prerrogativa de fora não haveria porque não é democrático não é Republicano. Republicano é um cidadão pouco importando cargo ocupado seja julgado pelo juiz natural que é o juiz de primeira instância seja ele Sérgio moro ou não.,eu também sou contra eu estou usando linguajar do leigo Que dizão privilégio ser julgado pelo Supremo eu não acho que seja um privilégio por mim eu acabei da- prova de mim Claro que eu não sou legislador não haveria o o prerrogativa de fora não haveria porque não é democrático não é Republicano. Republicano é um cidadão pouco importando cargo ocupado seja julgado pelo juiz natural que é o juiz de primeira instância seja ele Sérgio moro ou não.,85,58.203125,55.46875,26.796875,29.53125
24,Marco Aurelio,José Nêumanne,Ministro Por que que o Supremo não prende o Eduardo Cunha (?) porque ele tem ele já é real por corrupção lavagem já se tem indícios fortes de que até dinheiro até elege ele tinha no exterior (?).,Ministro Por que que o Supremo não prende o Eduardo Cunha (?) porque ele tem ele já é real por corrupção lavagem já se tem indícios fortes de que até dinheiro até elege ele tinha no exterior (?).,100,26.3671875,26.3671875,73.6328125,73.6328125
25,Marco Aurelio,Marco Aurélio Mello,o Supremo Não age de ofício o Supremo age mediante provocação e não houve pedido nesse sentido (.) o que se tem aguardando apreciação é um pedido para afas- da cadeira de presidente da Câmara e quem sabe até afastar do exercício do mandato de deputado federal (..).,o Supremo Não age de ofício o Supremo age mediante provocação e não houve pedido nesse sentido o que se tem aguardando apreciação é um pedido para afas- da cadeira de presidente da Câmara e quem sabe até afastar do exercício do mandato de deputado federal .,75,52.734375,52.734375,22.265625,22.265625
26,Marco Aurelio,José Nêumanne,Não incomoda o senhor o fato de um presidente de um poder ser réu por Dois crimes no Exercício desse poder pelo uso do qual ele pode inclusive se usar para vamos dizer assim em tese falando aqui para evitar a investigação (?).,Não incomoda o senhor o fato de um presidente de um poder ser réu por Dois crimes no Exercício desse poder pelo uso do qual ele pode inclusive se usar para vamos dizer assim em tese falando aqui para evitar a investigação (?).,100,22.0703125,22.0703125,77.9296875,77.9296875
27,Marco Aurelio,Marco Aurélio Mello,o contexto geral eu não aprecio a situação apenas de Eduardo Cunha me é muito desagradável (.) agora nós precisamos observar a organicidade do direito (.) nós não podemos tocar a acusação que ainda não se tem em relação ao Eduardo Cunha já tem a apresentação de denúncia não podemos tocar de cambulhada. isso não é avanço cultural isso é retrocesso cultural ou seja não cabe numa demo- pronuncia o justiçamento (..).,o contexto geral eu não aprecio a situação apenas de Eduardo Cunha me é muito desagradável agora nós precisamos observar a organicidade do direito nós não podemos tocar a acusação que ainda não se tem em relação ao Eduardo Cunha já tem a apresentação de denúncia não podemos tocar de cambulhada. isso não é avanço cultural isso é retrocesso cultural ou seja não cabe numa demo- pronuncia o justiçamento .,70,58.203125,55.46875,11.796875,14.53125
